繁體(OpenCC)	原書詞頭	简体	吴拼
兩孃	兩娘	两娘	lian gnian
兩樣生	兩樣生	两样生	lian yan san
兩樣	兩樣	两样	lian yan
兩親家公	兩親家公	两亲家公	lian chin ko kon
兩親家姆	兩親家姆	两亲家姆	lian chin ko m
兩兄弟	兩兄弟	两兄弟	lian shion di
兩百五十	兩百五十	两百五十	lian paq ng zyuq
兩百一	兩百一	两百一	lian paq iq
兩百二	兩百二	两百二	lian paq gni
兩百兩	兩百兩	两百两	lian paq lian
兩百三	兩百三	两百三	lian paq sae
兩百四	兩百四	两百四	lian paq sy
兩百五	兩百五	两百五	lian paq ng
兩百六	兩百六	两百六	lian paq loq
兩百七	兩百七	两百七	lian paq chiq
兩百八	兩百八	两百八	lian paq paq
兩百九	兩百九	两百九	lian paq cieu
兩隻手絞仔	兩隻手絞仔	两只手绞仔	lian tsaq shieu gau tsy
兩隔生	兩隔生	两隔生	lian kaq san
兩腳路梯	兩腳路梯	两脚路梯	lian ciaq lu the
兩叔伯姆	兩叔伯姆	两叔伯姆	lian soq pan m
兩妯娌	兩妯娌	两妯娌	lian dzoq li
兩個	兩個	两个	lian goq
兩個	兩個	两个	lian kou
兩結結	兩結結	两结结	lian ciq ciq
亮	亮	亮	lian6
亮吹熓	亮吹熓	亮吹𤆡	lian tshyu u
亮眼	亮眼	亮眼	lian ngae
亮眼𥳖	亮眼𥳖	亮眼𥳖	lian ngae bu
亮眼路梯	亮眼路梯	亮眼路梯	lian ngae lu the
亮眼頭絲	亮眼頭絲	亮眼头丝	lian ngae deu sy
亮眼瞎子	亮眼瞎子	亮眼瞎子	lian ngae haq tsy
亮穿穿	亮穿穿	亮穿穿	lian tshoe tshoe
亮頭	亮頭	亮头	lian deu
亮頭裏	亮頭裏	亮头里	lian deu li
亮槅	亮槅	亮槅	lian kaq
亮潔	亮潔	亮洁	lian ciq
將	將	将	cian1
將面聾	將面聾	将面聋	cian mi lon
借米聾	借米聾	借米聋	cia mi lon
將補	將補	将补	cian pu
將就	將就	将就	cian jieu
將煞𡀂	將煞𡀂	将煞𡀂	cian saq lei
張	張	张	cian1
張記望記	张記望記	张记望记	cian ci uaon ci
張貓	張猫	张猫	cian mhau
僵	僵	僵	cian1
僵脯飯	僵脯飯	僵脯饭	cian bu vae
僵個	僵個	僵个	cian kou
僵個佬	僵個佬	僵个佬	cian kou lau
僵個貓○	僵個貓○	僵个猫○	cian kou mae
僵硬	僵硬	僵硬	cian ngan
僵硬骨粒	僵硬骨粒	僵硬骨粒	cian ngan kuaq liq
漿	漿	浆	cian1
漿水	漿水	浆水	cian syu
漿糊	漿糊	浆糊	cian wu
漿板	漿板	浆板	cian pae
姜	薑	姜	cian1
漲潮	漲潮	涨潮	cian jiau
漲息	漲息	涨息	cian shiq
槳	槳	桨	cian3
槳圈	槳圈	桨圈	cian chiu
槳柄	槳柄	桨柄	cian pin
槳葉	槳葉	桨叶	cian yiq
帳子	帳子	帐子	cian tsy
帳子㫰竿	帳子㫰竿	帐子㫰竿	cian tsy laon ki
帳衣	帳衣	帐衣	cian i
帳頭人案	帳頭人案	帐头人案	cian deu gnin e
帳鉤	帳鈎	帐钩	cian keu
帳門	帳門	帐门	cian men
帳頂	帳頂	帐顶	cian tin
帳○箜	帳○箜	帐○箜	cian khon
帳○箜籃	帳○箜籃	帐○箜篮	cian khon lae
賬房	賬房	账房	cian vaon
賬房先生	賬房先生	账房先生	cian vaon shi san
脹	脹	胀	cian5
脹面癗	脹面癗	胀面癗	cian mi lei
脹話	脹話	胀话	cian wo
脹膯	脹膯	胀膯	cian ten
脹拔拔	脹拔拔	胀拔拔	cian baq baq
脹鼓鼓	脹鼓鼓	胀鼓鼓	cian ku ku
脹煞𡀂	脹煞𡀂	胀煞𡀂	cian saq lei
醬園	醬園	酱园	cian yu
醬菜	醬菜	酱菜	cian tshe
醬油	醬油	酱油	cian yeu
醬油瓜子	醬油瓜子	酱油瓜子	cian yeu ko tsy
醬丁	醬丁	酱丁	cian tin
醬貨店	醬貨店	酱货店	cian hou ti
醬豆腐	醬豆腐	酱豆腐	cian deu vu
醬肉	醬肉	酱肉	cian gnioq
羌○	羌○	羌○	chian1
羌餅	羌餅	羌饼	chian pin
腔	腔	腔	chian1
槍○	槍○	枪○	chian1
槍斃鬼	槍斃鬼	枪毙鬼	chian bi ciu
槍笆	槍笆	枪笆	chian po
搶	搶	抢	chian3
搶犯	搶犯	抢犯	chian vae
搶窠幽貓	搶窠幽貓	抢窠幽猫	chian khou ieu mae
搶親	搶親	抢亲	chian chin
嗆	嗆	呛	chian5
嗆○	嗆○	呛○	chian5
嗆○氣	嗆○氣	呛○气	chian chi
嗆○拍	嗆○拍	呛○拍	chian phaq
𪉨蟹	𪉨蟹	𪉨蟹	chian ha
𪉨蝦	𪉨蝦	𪉨虾	chian huo
長	長	长	jian2
長麪	長麵	长面	jian mi
長臍	長臍	长脐	jian ji
長年	長年	长年	jian gni
長工	長工	长工	jian kon
長年到頭	長年到頭	长年到头	jian gni tau deu
長股短	長股短	长股短	jian ku toe
長遠	長遠	长远	jian yu
長矮凳	長矮凳	长矮凳	jian a ten
長凳	長凳	长凳	jian ten
長丫臉	長丫臉	长丫脸	jian o li
長條桌	長條桌	长条桌	jian diau tsoq
長𢿞𢿞	長𢿞𢿞	长𢿞𢿞	jian liau liau
長𢿞條	長𢿞條	长𢿞条	jian liau diau
長衫	長衫	长衫	jian sae
長壽麪	長壽麵	长寿面	jian zhieu mi
壽麪	壽麵	寿面	zhieu mi
長大	長大	长大	jian dou
長長大大	長長大大	长长大大	jian jian dou dou
長鱟	長鱟	长鲎	jian heu
長孟孟	長孟孟	长孟孟	jian man man
長常	長常	长常	jian dzaon
長時	長時	长时	jian zy
長豇豆	長豇豆	长豇豆	jian kaon deu
長生果	長生果	长生果	jian sen kou
長統襪	長統襪	长统袜	jian thon maq
長白燈籠	長白燈籠	长白灯笼	jian baq ten lon
長襪	長襪	长袜	jian maq
長腳鷺鷥	長腳鷺鷥	长脚鹭鸶	jian ciaq lu sy
場	場	场	jian2
強	强	强	jian2
強討飯	强討飯	强讨饭	jian thau vae
強盜	强盜	强盗	jian dau
強盜坯	强盜坯	强盗坯	jian dau phei
強橫	强横	强横	jian uan
強橫霸道	强横霸道	强横霸道	jian uan po dau
腸	腸	肠	jian2
薔薇	薔薇	蔷薇	jian vi
丈板	丈板	丈板	jian pae
丈人老頭	丈人老頭	丈人老头	jian gnin lau deu
丈人阿伯	丈人阿伯	丈人阿伯	jian gnin aq paq
丈人	丈人	丈人	jian gnin
丈姆家	丈姆家	丈姆家	jian m ko
丈姆孃	丈姆娘	丈姆娘	jian m gnian
丈姆	丈姆	丈姆	jian m
仗人勢	仗人勢	仗人势	jian gnin syu
𲨶	𲨶	𲨶	jian6
𲨶面	𲨶面	𲨶面	jian mi
𲨶面水	𲨶面水	𲨶面水	jian mi syu
𲨶衣裳	𲨶衣裳	𲨶衣裳	jian i zaon
𲨶手	𲨶手	𲨶手	jian shieu
𲨶頭	𲨶頭	𲨶头	jian deu
𲨶人	𲨶人	𲨶人	jian gnin
𲨶肉	𲨶肉	𲨶肉	jian gnioq
𲨶人腳桶	𲨶人腳桶	𲨶人脚桶	jian gnin ciaq don
𲨶腳水	𲨶腳水	𲨶脚水	jian ciaq syu
𲨶腳布	𲨶腳布	𲨶脚布	jian ciaq pu
𲨶肉間	𲨶肉間	𲨶肉间	jian gnioq kae
𲨶一水	𲨶一水	𲨶一水	jian iq syu
弶	弶	弶	jian6
象山雞	象山鷄	象山鸡	jian sae ci
犟頭倔腦	犟頭倔腦	犟头倔脑	jian deu jiuq nau
犟頭犟腦	犟頭犟腦	犟头犟脑	jian deu jian nau
☐烏貓	☐烏貓	☐乌猫	knian u mae
孃	娘	娘	gnian2
娘子	娘子	娘子	gnian tsy
娘子阿姆	娘子阿姆	娘子阿姆	gnian tsy an m
孃姨	娘姨	娘姨	gnian yi
孃家	娘家	娘家	gnian ko
孃舅	娘舅	娘舅	gnian jieu
孃舅外甥	娘舅外甥	娘舅外甥	gnian jieu nga san
孃戳屄	娘戳屄	娘戳屄	gnian tshoq pi
仰死仰倒	仰死仰倒	仰死仰倒	gnian shi gnian tau
相	相	相	shian1
相思樹	相思樹	相思树	shian sy zyu
相干	相干	相干	shian ki
相好	相好	相好	shian hau
相煩	相煩	相烦	shian vae
相量盞	相量盞	相量盏	shian lian tsae
相幫	相幫	相帮	shian paon
相親	相親	相亲	shian chin
相信	相信	相信	shian shin
香	香	香	shian1
香屍蟲	香屍蟲	香尸虫	shian sy dzon
香水	香水	香水	shian syu
香肥皂	香肥皂	香肥皂	shian bi zau
香妃色	香妃色	香妃色	shian fi saq
香榧子	香榧子	香榧子	shian fi tsy
香乾	香乾	香干	shian ki
香菸	香煙	香烟	shian i
香菸屁股	香煙屁股	香烟屁股	shian i phi ku
香菸蒂頭	香煙蒂頭	香烟蒂头	shian i ti deu
香菸牌子	香煙牌子	香烟牌子	shian i ba tsy
香菸殼子	香煙殼子	香烟壳子	shian i khoq tsy
香爐	香爐	香炉	shian lu
香酥餅	香酥餅	香酥饼	shian su pin
香萵筍	香萵笋	香莴笋	shian u syun
萵苣筍	萵苣笋	莴苣笋	u jiu syun
萵苣筍	萵苣笋	莴苣笋	u ciu syun
香泡	香泡	香泡	shian phau
香瓜	香瓜	香瓜	shian ko
香瓜子	香瓜子	香瓜子	shian ko tsy
香菜	香菜	香菜	shian tshe
香揀芋	香揀芋	香拣芋	shian ke gniu
香脆餅	香脆餅	香脆饼	shian tshei pin
香灰	香灰	香灰	shian huei
香涼蟲	香涼蟲	香凉虫	shian lian dzon
香腸	香腸	香肠	shian jian
香蕈	香蕈	香蕈	shian jin
香椿樹	香椿樹	香椿树	shian tshyun zyu
香烘烘	香烘烘	香烘烘	shian hon hon
香客	香客	香客	shian khaq
鄉里	鄉裏	乡里	shian li
鄉下	鄉下	乡下	shian gho
鄉下頭	鄉下頭	乡下头	shian gho deu
鄉下人	鄉下人	乡下人	shian gho gnin
廂房	廂房	厢房	shian vaon
箱子	箱子	箱子	shian tsy
箱子間	箱子間	箱子间	shian tsy kae
鑲盆	鑲盆	镶盆	shian ben
鯗	鮝	鲞	shian3
鯗𥳖	鮝𥳖	鲞𥳖	shian bu
響	響	响	shian
響米花	響米花	响米花	shian mi huo
響雷	響雷	响雷	shian lei
向	向	向	shian5
向天泅	向天泅	向天泅	shian thi jieu
向天睏	向天睏	向天困	shian thi khuen
向白籃	向白籃	向白篮	shian baq lae
向日葵	向日葵	向日葵	shian zyuq guei
相	相	相	shian5
相勢	相勢	相势	shian syu
相仙	相仙	相仙	shian shi
相拋天	相拋天	相抛天	shian phau thi
相天	相天	相天	shian thi
相貌	相貌	相貌	shian mau
相因	相因	相因	shian in
牆基	牆基	墙基	zhian ci
牆外頭	牆外頭	墙外头	zhian nga deu
牆門	牆門	墙门	zhian men
牆腳	牆腳	墙脚	zhian ciaq
牆角落頭	牆角落頭	墙角落头	zhian koq loq deu
牆壁	牆壁	墙壁	zhian piq
牆壁裏	牆壁裏	墙壁里	zhian piq li
象	象	象	zhian6
象棋	象棋	象棋	zhian ji
像人家	像人家	像人家	zhian gnin ko
像煞	像煞	像煞	zhian saq
像煞有介事	像煞有介事	像煞有介事	zhian saq yeu ka zy
橡皮	橡皮	橡皮	zhian bi
橡皮魚	橡皮魚	橡皮鱼	zhian bi ng
剝皮魚	剝皮魚	剥皮鱼	poq bi ng
羊	羊	羊	yan2
羊尾筍	羊尾笋	羊尾笋	yan vi syun
羊癲風	羊癲風	羊癫风	yan ti fon
羊癲病	羊癲病	羊癫病	yan ti bin
羊角	羊角	羊角	yan koq
洋皮皮	洋皮皮	洋皮皮	yan bi bi
洋鈿	洋鈿	洋钿	yan di
洋錢餅	洋錢餅	洋钱饼	yan ji pin
洋秈米	洋籼米	洋籼米	yan shi mi
洋油	洋油	洋油	yan yeu
洋娃娃	洋娃娃	洋娃娃	yan ua ua
洋囡囡	洋囡囡	洋囡囡	yan noe noe
洋泡泡	洋泡泡	洋泡泡	yan phau phau
洋抄簿	洋抄簿	洋抄簿	yan tshau bu
洋銬	洋銬	洋铐	yan khau
808	808	808	paq lin paq
洋車	洋車	洋车	yan tsho
洋紗團心子	洋紗團心子	洋纱团心子	yan so doe shin tsy
洋瓦	洋瓦	洋瓦	yan ngo
洋鉛皮	洋鉛皮	洋铅皮	yan khae bi
洋鉛面桶	洋鉛面桶	洋铅面桶	yan khae mi don
洋火	洋火	洋火	yan hou
洋生薑	洋生薑	洋生姜	yan san cian
洋房	洋房	洋房	yan vaon
洋裝	洋裝	洋装	yan tsaon
洋行	洋行	洋行	yan ghaon
洋盤	洋盤	洋盘	yan bun
洋粉袋	洋粉袋	洋粉袋	yan fen de
洋釘	洋釘	洋钉	yan tin
洋蔥頭	洋葱頭	洋葱头	yan tshon deu
洋辣毛	洋辣毛	洋辣毛	yan laq mau
洋蠟燭	洋蠟燭	洋蜡烛	yan laq tsoq
洋燭	洋燭	洋烛	yan tsoq
洋芋艿	洋芋艿	洋芋艿	yan n na
洋番薯	洋番薯	洋番薯	yan fae zyu
陽帽篷	陽帽篷	阳帽篷	yan mau bon
陽珓	陽珓	阳珓	yan kau
陽臺	陽臺	阳台	yan de
陽傘	陽傘	阳伞	yan sae
陽文	陽文	阳文	yan ven
陽春麪	陽春麵	阳春面	yan tshyun mi
揚麥	揚麥	扬麦	yan maq
揚穀	揚穀	扬谷	yan koq
楊樹	楊樹	杨树	yan zyu
楊花	楊花	杨花	yan huo
楊柳腰	楊柳腰	杨柳腰	yan lieu iau
楊梅	楊梅	杨梅	yan mei
楊梅時	楊梅時	杨梅时	yan mei zy
楊梅汛裏	楊梅汛裏	杨梅汛里	yan mei shin li
楊梅乾	楊梅乾	杨梅干	yan mei ki
楊梅瘡	楊梅瘡	杨梅疮	yan mei tshaon
煬	煬	炀	yan6
煬勩	煬勩	炀勚	yan yi
養生新婦	養生新婦	养生新妇	yan san shin vu
養生	養生	养生	yan san
瀁瀁動	瀁瀁動	瀁瀁动	yan yan don
樣	樣	样	yan6
樣子	樣子	样子	yan tsy
樣範	樣範	样范	yan vae
樣有份	樣有份	样有份	yan yeu ven
癢颼颼	癢颼颼	痒飕飕	yan seu seu
癢木樓颼	癢木樓颼	痒木楼飕	yan moq leu seu
陽溝	陽溝	阳沟	ian keu
秧子	秧子	秧子	ian tsy
秧子穀	秧子穀	秧子谷	ian tsy koq
秧子出田	秧子出田	秧子出田	ian tsy tshyuq di
秧田	秧田	秧田	ian di
秧苗	秧苗	秧苗	ian miau
秧	秧	秧	ian1
養	養	养	ian3
養嬌	養嬌	养娇	ian ciau
養囡	養囡	养囡	ian noe
養瘦馬	養瘦馬	养瘦马	ian seu mo
養孃	養娘	养娘	ian gnian
養出	養出	养出	ian tshyuq
養兒子	養兒子	养儿子	ian ng tsy
挭	挭	挭	kuan1
梗	梗	梗	kuan3
梗子	梗子	梗子	kuan tsy
光○酸	光○酸	光○酸	kuan soe
光○得斯酸	光○得斯酸	光○得斯酸	kuan taq sy soe
光火	光火	光火	kuan hou
光○青	光○青	光○青	kuan chin
☐☐奔	☐☐奔	☐☐奔	guan guan pen
☐☐追	☐☐追	☐☐追	guan guan tsei
☐☐逃	☐☐逃	☐☐逃	guan guan dau
☐	☐	☐	huan5
橫豎	横竪	横竖	wan zyu
橫豎	横竪	横竖	wan zy
橫使	横使	横使	wan sy
橫縱	横縱	横纵	wan tson
橫豎橫	横豎横	横竖横	wan zyu wan
橫裏	横裏	横里	wan li
橫橫動	横横動	横横动	wan wan don
橫簫	橫簫	横箫	wan shiau
橫愛司頭	横愛司頭	横爱司头	wan e sy deu
橫頭	横頭	横头	wan deu
橫樑	横梁	横梁	wan lian
橫	横	横	wan6
橫○賭	横○賭	横○赌	wan tu
橫○	横○	横○	wan6
橫○東道	横○東道	横○东道	wan ton dau
橫至○至○	横至○至○	横至○至○	uan tsy tsy
橫𠡒	横𠡒	横𠡒	uan tei
幫頭	幫頭	帮头	paon deu
幫襯	幫襯	帮衬	paon tshen
綁票	綁票	绑票	paon phiau
磅秤	磅秤	磅秤	paon chin
胖起	胖起	胖起	phaon chi
胖脯	胖脯	胖脯	phaon bu
胖乎乎	胖乎乎	胖乎乎	phaon fu fu
胖頭魚	胖頭魚	胖头鱼	phaon deu ng
胖陽𣝗	胖陽𣝗	胖阳𣝗	phaon yan waq
胖墩墩	胖墩墩	胖墩墩	phaon ten ten
髈蹄	髈蹄	髈蹄	phaon di
防	防	防	baon2
防來	防來	防来	baon le
旁邊頭	旁邊頭	旁边头	baon pi deu
旁邊	旁邊	旁边	baon pi
螃元蟹	螃元蟹	螃元蟹	baon gniu ha
棒冰	棒冰	棒冰	baon pin
傍早	傍早	傍早	baon tsau
芒種	芒種	芒种	maon tson
忙	忙	忙	maon2
忙月	忙月	忙月	maon yuq
盲腸	盲腸	盲肠	maon jian
盲腸炎	盲腸炎	盲肠炎	maon jian yi
忘記太公	忘記太公	忘记太公	maon ci tha kon
忘伯伯	忘伯伯	忘伯伯	maon paq paq
望	望	望	maon6
望遠鏡	望遠鏡	望远镜	maon yu cin
望潮	望潮	望潮	maon jiau
望孃盤	望娘盤	望娘盘	maon gnian bun
網	網	网	maon6
網線袋	網綫袋	网线袋	maon shi de
網油	網油	网油	maon yeu
方矮凳	方矮凳	方矮凳	faon a ten
方糕	方糕	方糕	faon kau
方丈和尚	方丈和尚	方丈和尚	faon jian ghou zaon
方頓頓	方頓頓	方顿顿	faon ten ten
方巾	方巾	方巾	faon cin
方桌	方桌	方桌	faon tsoq
方桌凳	方桌凳	方桌凳	faon tsoq ten
方角	方角	方角	faon koq
紡花車	紡花車	纺花车	faon huo tsho
放水	放水	放水	faon syu
放樹	放樹	放树	faon zyu
放雞	放鷄	放鸡	faon ci
放焰口	放焰口	放焰口	faon yi kheu
放大鏡	放大鏡	放大镜	faon da cin
放炮仗	放炮仗	放炮仗	faon phau jian
放假	放假	放假	faon ko
放花筒	放花筒	放花筒	faon huo don
放手	放手	放手	faon shieu
放生	放生	放生	faon san
放湯	放湯	放汤	faon thaon
放湯飯	放湯飯	放汤饭	faon thaon vae
放命	放命	放命	faon min
放命頭	放命頭	放命头	faon min deu
放心	放心	放心	faon shin
放筒銃	放筒銃	放筒铳	faon don tshon
放白鴿	放白鴿	放白鸽	faon baq kaq
放學	放學	放学	faon ghoq
放晝學	放晝學	放昼学	faon cieu ghoq
放夜學	放夜學	放夜学	faon ya ghoq
放血	放血	放血	faon shiuq
房	房	房	vaon2
房子	房子	房子	vaon tsy
房屋	房屋	房屋	vaon oq
房鈿	房鈿	房钿	vaon di
房間	房間	房间	vaon kae
房門	房門	房门	vaon men
房東	房東	房东	vaon ton
房空	房空	房空	vaon khon
房客	房客	房客	vaon khaq
望門寡	望門寡	望门寡	vaon men ko
望門大姑娘	望門大姑娘	望门大姑娘	vaon men dou ku gnian
當○	當○	当○	taon1
當面	當面	当面	taon mi
當家尼姑	當家尼姑	当家尼姑	taon ko gni ku
當家人	當家人	当家人	taon ko gnin
當晝過	當晝過	当昼过	taon cieu kou
當晝過頭	當晝過頭	当昼过头	taon cieu kou deu
當大囡	當大囡	当大囡	taon dou noe
當大兒子	當大兒子	当大儿子	taon dou ng tsy
當忙	當忙	当忙	taon maon
當即	當即	当即	taon ciq
當心	當心	当心	taon shin
當中	當中	当中	taon tson
當中央	當中央	当中央	taon tson gnian
當中央央	當中央央	当中央央	taon tson gnian gnian
當中央亨	當中央亨	当中央亨	taon tson gnian han
當值	當值	当值	taon jiq
當月	當月	当月	taon yuq
鐺鐺響	鐺鐺響	铛铛响	taon taon shian
當	當	当	taon5
當店	當店	当店	taon ti
當鋪	當鋪	当铺	taon phu
當票	當票	当票	taon phiau
擋	擋	挡	taon5
擋頑	擋頑	挡顽	taon uae
擋瞎眼	擋瞎眼	挡瞎眼	taon haq ngae
淌白	淌白	淌白	thaon baq
湯	湯	汤	thaon1
湯水	湯水	汤水	thaon syu
湯麪	湯麵	汤面	thaon mi
湯飯	湯飯	汤饭	thaon vae
湯糰	湯糰	汤团	thaon doe
湯鍋	湯鍋	汤锅	thaon kou
湯果	湯果	汤果	thaon kou
湯果粉	湯果粉	汤果粉	thaon kou fen
湯碗	湯碗	汤碗	thaon un
湯盅	湯盅	汤盅	thaon tson
湯藥	湯藥	汤药	thaon yaq
耥	耥	耥	thaon5
耥田	耥田	耥田	thaon di
燙衣裳	燙衣裳	烫衣裳	thaon i zaon
燙壺子	燙壺子	烫壶子	thaon wu tsy
燙盤子	燙盤子	烫盘子	thaon bun tsy
燙婆子	燙婆子	烫婆子	thaon bou tsy
燙水壺	燙水壺	烫水壶	thaon syu wu
燙開	燙開	烫开	thaon khe
燙煞	燙煞	烫煞	thaon saq
燙煞鬼	燙煞鬼	烫煞鬼	thaon saq ciu
堂前	堂前	堂前	daon zhi
堂房	堂房	堂房	daon vaon
堂房姊妹	堂房姊妹	堂房姊妹	daon vaon ci mei
堂姊妹	堂姊妹	堂姊妹	daon ci mei
堂房兄弟	堂房兄弟	堂房兄弟	daon vaon shion di
堂兄弟	堂兄弟	堂兄弟	daon shion di
堂倌	堂倌	堂倌	daon kun
跑堂個	跑堂個	跑堂个	bau daon goq
堂阿弟	堂阿弟	堂阿弟	daon aq di
堂阿姐	堂阿姐	堂阿姐	daon aq cia
堂阿妹	堂阿妹	堂阿妹	daon aq mei
堂阿哥	堂阿哥	堂阿哥	daon aq kou
堂鑊	堂鑊	堂镬	daon ghoq
搪	搪	搪	daon2
溏黃	溏黄	溏黄	daon uaon
糖炒栗子	糖炒栗子	糖炒栗子	daon tshau liq tsy
糖茶	糖茶	糖茶	daon dzo
糖氽蛋	糖氽蛋	糖氽蛋	daon then dae
鏜鋃銀子	鏜鋃銀子	镗锒银子	daon laon gnin tsy
蕩	蕩	荡	daon6
蕩個月	蕩個月	荡个月	daon kou yuq
蕩個月	蕩個月	荡个月	daon goq yuq
蕩頭	蕩頭	荡头	daon deu
蕩底	蕩底	荡底	daon ti
蕩底把	蕩底把	荡底把	daon ti po
蕩𡍲	蕩𡍲	荡𡍲	daon thaq
蕩槍○	蕩槍○	荡枪○	daon chian
蕩槍裏○	蕩槍裏○	荡枪里○	daon chian li
蕩橫	蕩横	荡横	daon wan
蕩橫裏	蕩横裏	荡横里	daon wan li
蕩個	蕩個	荡个	daon goq
蕩個	蕩個	荡个	daon kou
盪	盪	荡	daon6
盪嘴巴	盪嘴巴	荡嘴巴	daon tsyu po
盪鞦韆	盪秋千	荡秋千	daon chieu chi
盪口杯	盪口杯	荡口杯	daon kheu pei
儾	儾	儾	naon6
儾舒	儾舒	儾舒	naon syu
儾頭	儾頭	儾头	naon deu
郎丫扁擔	郎丫扁擔	郎丫扁担	laon o pi tae
郎中	郎中	郎中	laon tson
蓈花	蓈花	蓈花	laon huo
朗炕	朗炕	朗炕	laon haon
廊檐	廊檐	廊檐	laon yi
榔頭	榔頭	榔头	laon deu
踉䠀	踉䠀	踉䠀	laon thaon
誏話	誏話	誏话	lhaon wo
浪○	浪○	浪○	laon6
浪○泛泛	浪○泛泛	浪○泛泛	laon fae fae
浪頭	浪頭	浪头	laon deu
浪	浪	浪	laon6
浪喫浪用	浪喫浪用	浪吃浪用	laon chioq laon yon
浪食	浪食	浪食	laon zhiq
㫰	㫰	㫰	laon6
㫰竿	㫰竿	㫰竿	laon ki
㫰衣裳	㫰衣裳	㫰衣裳	laon i zaon
㫰衣墩	㫰衣墩	㫰衣墩	laon i ten
㫰丫叉	㫰丫叉	㫰丫叉	laon o tsho
㫰黴	㫰霉	㫰霉	laon mei
𧻴趤公子	𧻴趤公子	𧻴趤公子	laon daon kon tsy
妝粉	妝粉	妆粉	tsaon fen
莊	莊	庄	tsaon1
莊家	莊家	庄家	tsaon ko
章程	章程	章程	tsaon jin
裝	裝	装	tsaon1
裝意基○	裝意基○	装意基○	tsaon i ci
裝大糊	裝大糊	装大糊	tsaon dou wu
裝特戇	裝特戇	装特戆	tsaon daq gaon
裝樣	裝樣	装样	tsaon yan
裝白泥其	裝白泥其	装白泥其	tsaon baq gni ji
樟樹	樟樹	樟树	tsaon zyu
樟木箱	樟木箱	樟木箱	tsaon moq shian
樁	樁	桩	tsaon1
蟑螂	蟑螂	蟑螂	tsaon laon
壯	壯	壮	tsaon5
壯搭搭	壯搭搭	壮搭搭	tsaon taq taq
葬落	葬落	葬落	tsaon loq
菖蒲	菖蒲	菖蒲	tshaon bu
窗簾	窗簾	窗帘	tshaon li
窗外	窗外	窗外	tshaon nga
窗頭	窗頭	窗头	tshaon deu
窗臺	窗臺	窗台	tshaon de
窗頭口	窗頭口	窗头口	tshaon deu kheu
窗口頭	窗口頭	窗口头	tshaon kheu deu
窗口	窗口	窗口	tshaon kheu
窗門	窗門	窗门	tshaon men
窗檻	窗檻	窗槛	tshaon khae
蒼蠅	蒼蠅	苍蝇	tshaon in
蒼蠅拍	蒼蠅拍	苍蝇拍	tshaon in phaq
闖禍坯	闖禍坯	闯祸坯	tshaon ghou phei
唱定心歌	唱定心歌	唱定心歌	tshaon din shin kou
唱功	唱功	唱功	tshaon kon
創○羹桶	創○羹桶	创○羹桶	tshaon kan don
摐	摐	𪭢	tshaon5
幢	幢	幢	dzaon6
幢籃	幢籃	幢篮	dzaon lae
幢箱櫥	幢箱櫥	幢箱橱	dzaon shian dzyu
撞頭	撞頭	撞头	dzaon deu
撞傷	撞傷	撞伤	dzaon saon
藏青	藏青	藏青	dzaon chin
桑樹	桑樹	桑树	saon zyu
桑果	桑果	桑果	saon kou
桑葉	桑葉	桑叶	saon yiq
舂	舂	舂	saon1
舂米	舂米	舂米	saon mi
喪事	喪事	丧事	saon zy
傷	傷	伤	saon1
傷料	傷料	伤料	saon liau
傷寒氣	傷寒氣	伤寒气	saon ghei chi
傷陰騭	傷陰騭	伤阴骘	saon in ciq
傷風氣	傷風氣	伤风气	saon fon chi
傷風	傷風	伤风	saon fon
霜	霜	霜	saon1
霜降	霜降	霜降	saon kaon
雙	雙	双	saon1
雙胞胎	雙胞胎	双胞胎	saon pau the
雙臺下巴	雙臺下巴	双台下巴	saon de gho po
雙隑人	雙隑人	双𬮿人	saon ge gnin
雙嵌麻糰	雙嵌麻糰	双嵌麻团	saon khae mo doe
雙眼沿	雙眼沿	双眼沿	saon ngae yi
雙旋	雙旋	双旋	saon zoe
雙鱟	雙鱟	双鲎	saon heu
雙缸醬	雙缸醬	双缸酱	saon kaon cian
雙滿月	雙滿月	双满月	saon mun yuq
爽	爽	爽	saon3
爽氣	爽氣	爽气	saon chi
爽爽氣氣	爽爽氣氣	爽爽气气	saon saon chi chi
爽性	爽性	爽性	saon shin
磉子	磉子	磉子	saon tsy
磉盤	磉盤	磉盘	saon bun
磉盤石	磉盤石	磉盘石	saon bun zaq
搡	搡	搡	saon5
牀	牀	床	zaon2
牀匾	牀匾	床匾	zaon pi
牀底下	牀底下	床底下	zaon ti gho
牀罩	牀罩	床罩	zaon tsau
牀頭鬼	牀頭鬼	床头鬼	zaon deu ciu
牀橫頭	牀横頭	床横头	zaon wan deu
牀桯	牀桯	床桯	zaon thin
牀公牀婆	牀公牀婆	床公床婆	zaon kon zaon bou
嚐鹹淡	嘗鹹淡	尝咸淡	zaon ghae dae
上市	上市	上市	zaon zy
上市貨	上市貨	上市货	zaon zy hou
上水魚	上水魚	上水鱼	zaon syu ng
上點心	上點心	上点心	zaon ti shin
上點心	上點心	上点心	zaon te shin
上路	上路	上路	zaon lu
上訴	上訴	上诉	zaon su
上階沿	上階沿	上阶沿	zaon ka yi
上竈師父	上竈師父	上灶师父	zaon tsau sy vu
上家	上家	上家	zaon ko
上照	上照	上照	zaon ciau
