繁體	简体	吴拼	分类	页码
盪	荡	daon4	与人体有关的动词	159
⿰氵丈	⿰氵丈	jian4	与人体有关的动词	159
⿰氵丈起	⿰氵丈起	jian chi	与人体有关的动词	159
汏	汏	da6	与人体有关的动词	159
濯	濯	dzaq8	与人体有关的动词	159
排	排	ba2	与人体有关的动词	159
㶒	𰛩	thei5	与人体有关的动词	159
溼	湿	saq7	与人体有关的动词	159
咬	咬	ngau4	与人体有关的动词	159
鹽	盐	yi6	与人体有关的动词	159
潷	滗	piq7	与人体有关的动词	159
𢯰	𢯰	liq8	与人体有关的动词	160
澄	澄	tin5	与人体有关的动词	160
養	养	ian3	与人体有关的动词	160
養	养	yan4	与人体有关的动词	160
㨖	㨖	tsyu5	与人体有关的动词	160
緝	缉	chiq7	与人体有关的动词	160
緶	缏	bi2	与人体有关的动词	160
繞	绕	gniau4	与人体有关的动词	160
絎	绗	ghaon2	与人体有关的动词	160
䌥	𦈠	in3	与人体有关的动词	160
翻	翻	fae1	与人体有关的动词	160
絮	絮	shi5	与人体有关的动词	160
鞔	鞔	mun2	与人体有关的动词	160
𧝴	𧝴	toq7	与人体有关的动词	160
打襉	打裥	tan kae	与人体有关的动词	160
敲邊	敲边	khau pi	与人体有关的动词	161
大做	大做	dou tsou	与人体有关的动词	161
貼襪底	贴袜底	thaq maq ti	与人体有关的动词	161
褙袹	褙袹	pei paq	与人体有关的动词	161
結袹	结袹	ciq paq	与人体有关的动词	161
夾襠	夹裆	kaq taon	与人体有关的动词	161
𨂝	𨂝	bae6	与人体有关的动词	161
蹽	蹽	liau2	与人体有关的动词	161
跍	跍	gu2	与人体有关的动词	161
跍倒	跍倒	gu tau	与人体有关的动词	161
䟕	䟕	tsho1	与人体有关的动词	161
⿰鬧	⿰闹	nau6	与人体有关的动词	161
停	停	din2	与人体有关的动词	161
踏	踏	daq8	与人体有关的动词	161
跺	跺	tho3	与人体有关的动词	161
𢲔	𢲔	pae5	与人体有关的动词	161
𢲔跌	𢲔跌	pae tiq	与人体有关的动词	161
㧦	㧦	shiu5	与人体有关的动词	162
揎	揎	shiu5	与人体有关的动词	162
揙	揙	pi1	与人体有关的动词	162
蹩	蹩	biq8	与人体有关的动词	162
蹁	蹁	bi2	与人体有关的动词	162
蹁倒	蹁倒	bi tau	与人体有关的动词	162
𨆪	𫏕	gen6	与人体有关的动词	162
行	行	ghan2	与人体有关的动词	162
能能	能能	nhen nhen	与人体有关的动词	162
旋	旋	zoe2	与人体有关的动词	162
趤	趤	dan6	与人体有关的动词	162
套	套	thau5	与人体有关的动词	162
大套	大套	dou thau	与人体有关的动词	162
彎	弯	uae1	与人体有关的动词	163
彎轉	弯转	uae tsoe	与人体有关的动词	163
串陣	串阵	tshoe jin	与人体有关的动词	163
奔東落西	奔东落西	pen ton loq shi	与人体有关的动词	163
奔來落去	奔来落去	pen le loq chi	与人体有关的动词	163
奔來倒去	奔来倒去	pen le tau chi	与人体有关的动词	163
𧼰	𧼰	zaq8	与人体有关的动词	163
𧼰出	𧼰出	zaq tshyuq	与人体有关的动词	163
𧼱	𧼱	biq8	与人体有关的动词	163
𧼱競	𧼱竞	biq jin	与人体有关的动词	163
𧼱轎	𧼱轿	biq jiau	与人体有关的动词	163
𧼱出	𧼱出	biq tshyuq	与人体有关的动词	163
𧼱勿着	𧼱勿着	biq vaq dzoq	与人体有关的动词	163
蹱	蹱	tshon5	与人体有关的动词	163
打腳骨軟	打脚骨软	tan ciaq kuaq gniu	与人体有关的动词	163
打軟腳骨	打软脚骨	tan gniu ciaq kuaq	与人体有关的动词	163
腳娘肚彈琵琶	脚娘肚弹琵琶	ciaq gnian du dae bi bo	与人体有关的动词	163
𧻲	𧻲	mha1	与人体有关的动词	163
埋	埋	mha1	与人体有关的动词	163
死	死	shi3	与人体有关的动词	164
襛	襛	nhon1	与人体有关的动词	164
包	包	pau1	与人体有关的动词	164
剗穿	刬穿	tshae tshoe	与人体有关的动词	164
添裏	添里	thi li	与人体有关的动词	164
出腳	出脚	tshyuq ciaq	与人体有关的动词	164
出膊	出膊	tshyuq poq	与人体有关的动词	164
出卵	出卵	tshyuq loe	与人体有关的动词	164
出膊出卵	出膊出卵	tshyuq poq tshyuq loe	与人体有关的动词	164
出卵出膊	出卵出膊	tshyuq loe tshyuq poq	与人体有关的动词	164
出膊丫卵	出膊丫卵	tshyuq poq o loe	与人体有关的动词	164
出屁股	出屁股	tshyuq phi ku	与人体有关的动词	164
庉	庉	den2	与人体有关的动词	164
庉落	庉落	den loq	与人体有关的动词	164
隑	隑	nge4	与人体有关的动词	164
隑	隑	ge4	与人体有关的动词	164
戤	戤	ge4	与人体有关的动词	164
㢊	㢊	a3	与人体有关的动词	165
傴	伛	eu5	与人体有关的动词	165
傴	伛	on5	与人体有关的动词	165
跔	跔	geu6	与人体有关的动词	165
藃	藃	hou1	与人体有关的动词	165
匐	匐	boq8	与人体有关的动词	165
伏	伏	boq8	与人体有关的动词	165
叉	叉	tsho1	与人体有关的动词	165
搓	搓	tsho1	与人体有关的动词	165
跳上	跳上	thiau zaon	与人体有关的动词	165
跳落	跳落	thiau loq	与人体有关的动词	165
挖	挖	uaq7	与人体有关的动词	165
沙	沙	so5	与人体有关的动词	166
溜	溜	lieu6	与人体有关的动词	166
溜跌	溜跌	lieu tiq	与人体有关的动词	166
擂	擂	lei6	与人体有关的动词	166
擂倒	擂倒	lei tau	与人体有关的动词	166
磕跌	磕跌	khaq tiq	与人体有关的动词	166
磕	磕	khaq7	与人体有关的动词	166
磕煞	磕煞	khaq saq	与人体有关的动词	166
磕開	磕开	khaq khe	与人体有关的动词	166
翻落	翻落	fae loq	与人体有关的动词	166
轉側	转侧	tsoe tsaq	与人体有关的动词	166
扠活	扠活	tsha waq	与人体有关的动词	166
吸	吸	shiq7	与人体有关的动词	166
𨉖	𨉖	iq7	与人体有关的动词	166
幽	幽	ieu5	与人体有关的动词	167
幽	幽	ieu1	与人体有关的动词	167
層	层	zen2	与人体有关的动词	167
層	层	zen6	与人体有关的动词	167
䂻	䂻	dzan6	与人体有关的动词	167
現	现	yi6	与人体有关的动词	167
凚	凚	jin4	与人体有关的动词	167
噤	噤	jin4	与人体有关的动词	167
顛	颠	ti1	与人体有关的动词	167
軋	轧	gaq8	与人体有关的动词	167
軋開	轧开	gaq khe	与人体有关的动词	167
挨	挨	a1	与人体有关的动词	167
攮	攮	naon2	与人体有关的动词	168
搑	搑	gnion4	与人体有关的动词	168
鬨	哄	ghon6	与人体有关的动词	168
鬨鬧熱	哄闹热	ghon nau gniq	与人体有关的动词	168
簇	簇	tsoq7	与人体有关的动词	168
蓬	蓬	bon2	与人体有关的动词	168
作漿	作浆	tsoq cian	与人体有关的动词	168
𩑦	𩑦	uaq7	与人体有关的动词	168
浸煞	浸煞	cin saq	与人体有关的动词	168
游河	游河	yeu ghou	与人体有关的动词	168
摜河	掼河	guae ghou	与人体有关的动词	168
打泅	打泅	tan jieu	与人体有关的动词	168
煞拱	煞拱	saq kon	与人体有关的动词	168
鑽拱	钻拱	tsoe kon	与人体有关的动词	168
⿰氵丈人	⿰氵丈人	jian gnin	与人体有关的动词	168
⿰氵丈肉	⿰氵丈肉	jian gnioq	与人体有关的动词	168
𢄺身	𢄺身	ciau shin	与人体有关的动词	168
落水	落水	loq syu	与人体有关的动词	169
軋頭	轧头	gaq deu	与人体有关的动词	169
伸懶長	伸懒长	shin lae jian	与人体有关的动词	169
伸懶勢	伸懒势	shin lae syu	与人体有关的动词	169
拗腰骨	拗腰骨	au iau kuaq	与人体有关的动词	169
打呵鼾	打呵鼾	tan huo he	与人体有关的动词	169
打眠鼾	打眠鼾	tan mi he	与人体有关的动词	169
打瞌𥅻	打瞌𥅻	tan khaq tshon	与人体有关的动词	169
花	花	huo1	与人体有关的动词	169
眯	眯	mhi5	与人体有关的动词	169
睏	睏	khuen5	与人体有关的动词	169
睏晏覺	睏晏觉	khuen ae kau	与人体有关的动词	169
睏覺	睏觉	khuen kau	与人体有关的动词	169
睏⿰忄態覺	睏⿰忄态觉	khuen the kau	与人体有关的动词	169
打中覺	打中觉	tan tson kau	与人体有关的动词	169
睏熟	睏熟	khuen zoq	与人体有关的动词	169
調覺	调觉	diau kau	与人体有关的动词	169
醒覺轉	醒觉转	shin kau tsoe	与人体有关的动词	169
睏失覺	睏失觉	khuen syuq kau	与人体有关的动词	169
做亂夢	做乱梦	tsou loe maon	与人体有关的动词	169
講夜話	讲夜话	kaon ya wo	与人体有关的动词	169
爬起	爬起	bo chi	与人体有关的动词	169
揹夜	背夜	pei ya	与人体有关的动词	170
落夜	落夜	loq ya	与人体有关的动词	170
宿夜	宿夜	soq ya	与人体有关的动词	170
曬日頭菩	晒日头菩	sa gniq deu bu	与人体有关的动词	170
⿸尸咋	⿸尸咋	dza4	与人体有关的动词	170
撒	撒	dza4	与人体有关的动词	170
⿸尸咋屙	⿸尸咋屙	dza ou	与人体有关的动词	170
⿸尸咋尿	⿸尸咋尿	dza syu	与人体有关的动词	170
⿸尸咋屁	⿸尸咋屁	dza phi	与人体有关的动词	170
⿸尸咋屙出	⿸尸咋屙出	dza ou tshyuq	与人体有关的动词	170
屙⿸尸咋出	屙⿸尸咋出	ou dza tshyuq	与人体有关的动词	170
⿸尸咋尿出	⿸尸咋尿出	dza syu tshyuq	与人体有关的动词	170
尿⿸尸咋出	尿⿸尸咋出	syu dza tshyuq	与人体有关的动词	170
揩屁眼	揩屁眼	kae phi ngae	与人体有关的动词	170
揩屁股	揩屁股	kae phi ku	与人体有关的动词	170
揩屙屁眼	揩屙屁眼	kae ou phi ngae	与人体有关的动词	170
嬉䏘	嬉䏘	shi phiq	与人体有关的动词	170
戲䏘	戏䏘	shi phiq	与人体有关的动词	170
打手銃	打手铳	tan shieu tshon	与人体有关的动词	170
倒陽	倒阳	tau yan	与人体有关的动词	170
倒夜	倒夜	tau ya	与人体有关的动词	170
走陽	走阳	tseu yan	与人体有关的动词	170
錯心	错心	tshou shin	与人体有关的动词	170
失心	失心	syuq shin	与人体有关的动词	170
錯氣	错气	tshou chi	与人体有关的动词	170
做病	做病	tsou bin	与人体有关的动词	171
生病勢痛	生病势痛	san bin syu thon	与人体有关的动词	171
風	风	fon1	与人体有关的动词	171
痬	痬	yi2	与人体有关的动词	171
易	易	yi2	与人体有关的动词	171
臖	臖	hen5	与人体有关的动词	171
生膿	生脓	san non	与人体有关的动词	171
結𥀬	结𥀬	ciq i	与人体有关的动词	171
開皸	开皲	khe ciun	与人体有关的动词	171
坍	坍	thae1	与人体有关的动词	171
脫力	脱力	thaq liq	与人体有关的动词	171
落肉	落肉	loq gnioq	与人体有关的动词	171
罰	罚	vaq8	与人体有关的动词	171
還轉	还转	wae tsoe	与人体有关的动词	171
勞發	劳发	lau faq	与人体有关的动词	171
肌身熱	肌身热	ci shin gniq	与人体有关的动词	171
發寒熱	发寒热	faq ghei gniq	与人体有关的动词	171
肌身火熱	肌身火热	ci shin hou gniq	与人体有关的动词	171
肌身涾涾滾	肌身涾涾滚	ci shin daq daq kuen	与人体有关的动词	171
發出	发出	faq tshyuq	与人体有关的动词	172
發隔	发隔	faq kaq	与人体有关的动词	172
牙齒浮起	牙齿浮起	ngo tsy vu chi	与人体有关的动词	172
牙肉浮起	牙肉浮起	ngo gnioq vu chi	与人体有关的动词	172
凍進	冻进	ton cin	与人体有关的动词	172
凍掉	冻掉	ton diau	与人体有关的动词	172
傷風氣	伤风气	saon fon chi	与人体有关的动词	172
鼻頭管塞煞	鼻头管塞煞	baq deu kun saq saq	与人体有关的动词	172
發酒凚	发酒凚	faq cieu jin	与人体有关的动词	172
𢪂痚駝	𢪂痚驼	da hau dou	与人体有关的动词	172
喫熱	吃热	chioq gniq	与人体有关的动词	172
發痧氣	发痧气	faq so chi	与人体有关的动词	172
肚皮⿸尸咋	肚皮⿸尸咋	du bi dza	与人体有关的动词	172
⿸尸咋肚皮	⿸尸咋肚皮	dza du bi	与人体有关的动词	172
⿸尸咋爛屙	⿸尸咋烂屙	dza lae ou	与人体有关的动词	172
⿸尸咋爛薄屙	⿸尸咋烂薄屙	dza lae boq ou	与人体有关的动词	172
⿸尸咋痢疾	⿸尸咋痢疾	dza li jiq	与人体有关的动词	172
疰夏	疰夏	tsyu gho	与人体有关的动词	172
疰車	疰车	tsyu tsho	与人体有关的动词	172
疰浪	疰浪	tsyu laon	与人体有关的动词	172
疰船	疰船	tsyu zoe	与人体有关的动词	172
腳筋吊	脚筋吊	ciaq cin tiau	与人体有关的动词	172
吊腳筋	吊脚筋	tiau ciaq cin	与人体有关的动词	172
傷筋	伤筋	saon cin	与人体有关的动词	172
喫蘿蔔乾	吃萝卜干	chioq lou boq ki	与人体有关的动词	172
漬煞	渍煞	ciq saq	与人体有关的动词	172
滑腸	滑肠	waq jian	与人体有关的动词	172
瘥	瘥	tsho5	与人体有关的动词	173
差	差	tsho5	与人体有关的动词	173
各樣	各样	koq yan	与人体有关的动词	173
解縛	解缚	ka bou	与人体有关的动词	173
驗	验	ne6	与人体有关的动词	173
驗	验	gni6	与人体有关的动词	173
搭脈	搭脉	taq maq	与人体有关的动词	173
把脈	把脉	po maq	与人体有关的动词	173
打銀針	打银针	tan gnin cin	与人体有关的动词	173
將補	将补	cian pu	与人体有关的动词	173
拔長	拔长	baq jian	与人体有关的动词	173
養嬌	养娇	ian ciau	与人体有关的动词	173
養出	养出	ian tshyuq	与人体有关的动词	173
苦出	苦出	khu tshyuq	与人体有关的动词	173
趤出	趤出	dan tshyuq	与人体有关的动词	173
出道	出道	tshyuq dau	与人体有关的动词	173
上軛	上轭	zaon aq	与人体有关的动词	173
減壽	减寿	kae zhieu	与人体有关的动词	173
減壽命	减寿命	kae zhieu min	与人体有关的动词	173
合撲	合扑	ghaq phoq	与人体有关的动词	173
合撲	合扑	gha phoq	与人体有关的动词	173
死掉	死掉	shi diau	与人体有关的动词	173
落材	落材	loq ze	与人体有关的动词	173
落殮	落殓	loq li	与人体有关的动词	173
入木	入木	zyuq moq	与人体有关的动词	173
落棺材	落棺材	loq kun ze	与人体有关的动词	173
忖	忖	tshen3	与人体有关的动词	174
呆忖忖	呆忖忖	nge tshen tshen	与人体有关的动词	174
毛估估	毛估估	mau ku ku	与人体有关的动词	174
惀	𰑄	len2	与人体有关的动词	174
防	防	baon2	与人体有关的动词	174
記防	记防	ci baon	与人体有关的动词	174
料着	料着	liau dzoq	与人体有关的动词	174
顧着	顾着	ku dzoq	与人体有关的动词	174
尚怕	尚怕	zaon pho	与人体有关的动词	174
惑怕	惑怕	ghoq pho	与人体有关的动词	174
喫𢞕	吃𢞕	chiq hoq	与人体有关的动词	174
喫嚇	吃吓	chiq haq	与人体有关的动词	174
腦算	脑算	nau soe	与人体有关的动词	174
攪賺	搅赚	gau dzae	与人体有关的动词	174
得知	得知	toq tsyu	与人体有关的动词	174
有數	有数	yeu su	与人体有关的动词	175
嘸數	呒数	mh su	与人体有关的动词	175
有數目賬	有数目账	yeu su moq cian	与人体有关的动词	175
有數目	有数目	yeu su moq	与人体有关的动词	175
有數有目	有数有目	yeu su yeu moq	与人体有关的动词	175
嘸數目賬	呒数目账	mh su moq cian	与人体有关的动词	175
嘸數倒賬	呒数倒账	mh su tau cian	与人体有关的动词	175
覺着	觉着	koq dzoq	与人体有关的动词	175
印	印	in5	与人体有关的动词	175
領	领	lin4	与人体有关的动词	175
接頭	接头	ciq deu	与人体有关的动词	175
提頭	提头	di deu	与人体有关的动词	175
發心	发心	faq shin	与人体有关的动词	175
擔漫	担漫	tae mae	与人体有关的动词	175
得漫	得漫	taq mae	与人体有关的动词	175
相信	相信	shian shin	与人体有关的动词	175
嫌鄙	嫌鄙	i pi	与人体有关的动词	175
惹厭	惹厌	zo i	与人体有关的动词	175
難看掉	难看掉	nae khi diau	与人体有关的动词	175
多	多	tou1	与人体有关的动词	176
貪	贪	thei1	与人体有关的动词	176
看相	看相	khi shian	与人体有关的动词	176
看想	看想	khi shian	与人体有关的动词	176
眼癢	眼痒	ngae yan	与人体有关的动词	176
眼睛癢	眼睛痒	ngae cin yan	与人体有关的动词	176
氣勿過	气勿过	chi vaq kou	与人体有关的动词	176
肯歇	肯歇	khen shiq	与人体有关的动词	176
勿肯歇	勿肯歇	vaq khen shiq	与人体有关的动词	176
值鈿	值钿	jiq di	与人体有关的动词	176
肉痛	肉痛	gnioq thon	与人体有关的动词	176
罪過	罪过	zei kou	与人体有关的动词	176
罪過	罪过	zei khou	与人体有关的动词	176
擁	拥	ion3	与人体有关的动词	176
見情	见情	ci jin	与人体有关的动词	176
交代勿過	交代勿过	kau de vaq kou	与人体有关的动词	176
痗心勿過	痗心勿过	mei shin vaq kou	与人体有关的动词	177
心焦	心焦	shin ciau	与人体有关的动词	177
壞過	坏过	ua kou	与人体有关的动词	177
難過	难过	nae kou	与人体有关的动词	177
勿爽快	勿爽快	vaq saon khua	与人体有关的动词	177
難熬	难熬	nae ngau	与人体有关的动词	177
焐心	焐心	u shin	与人体有关的动词	177
動火	动火	don hou	与人体有关的动词	177
惶恐	惶恐	waon khon	与人体有关的动词	177
畏惡	畏恶	uei wu	与人体有关的动词	177
熬	熬	ngau2	与人体有关的动词	177
剛	刚	kaon1	与人体有关的动词	177
堅	坚	ci1	与人体有关的动词	177
逝落	逝落	zy loq	与人体有关的动词	177
翁中	翁中	on tson	与人体有关的动词	177
惡	恶	oq7	与人体有关的动词	177
心戳煞	心戳煞	shin tshoq saq	与人体有关的动词	178
怏	怏	aon1	与人体有关的动词	178
犯怏	犯怏	vae aon	与人体有关的动词	178
發喥	发喥	faq du	与人体有关的动词	178
發喥性	发喥性	faq du shin	与人体有关的动词	178
光火	光火	kuan hou	与人体有关的动词	178
火大	火大	hou dou	与人体有关的动词	178
加氣	加气	ko chi	与人体有关的动词	178
加氣煩惱	加气烦恼	ko chi vae nau	与人体有关的动词	178
怨煞	怨煞	iu saq	与人体有关的动词	178
怨苦大結	怨苦大结	iu khu da ciq	与人体有关的动词	178
氣惱糟	气恼糟	chi nau tsau	与人体有关的动词	178
可惡	可恶	khou wu	与人体有关的动词	178
克嗔	克嗔	khaq tshen	与人体有关的动词	178
感冒	感冒	ki mau	与人体有关的动词	178
嚇煞	吓煞	haq saq	与人体有关的动词	178
找對象	找对象	tsau tei zhian	与人事有关的动词	179
許	许	he5	与人事有关的动词	179
許	许	hei1	与人事有关的动词	179
賅人家	赅人家	ki gnin ko	与人事有关的动词	179
賅人家	赅人家	ke gnin ko	与人事有关的动词	179
擡	抬	de2	与人事有关的动词	179
做新婦	做新妇	tsou shin vu	与人事有关的动词	179
擡去	抬去	de chi	与人事有关的动词	179
兌姑嫂	兑姑嫂	dei ku sau	与人事有关的动词	179
擡䞁房	抬𬥺房	de i vaon	与人事有关的动词	179
討䞁房	讨𬥺房	thau i vaon	与人事有关的动词	179
喫糖	吃糖	chioq daon	与人事有关的动词	179
過歲	过岁	kou syu	与人事有关的动词	179
發送	发送	faq son	与人事有关的动词	179
搬嫁妝	搬嫁妆	pun ko tsaon	与人事有关的动词	179
搬嫁資衣	搬嫁资衣	pun ko tsy i	与人事有关的动词	179
開面	开面	khe mi	与人事有关的动词	179
絞面	绞面	ciau mi	与人事有关的动词	179
享先	享先	shian shi	与人事有关的动词	179
好日	好日	hau gniq	与人事有关的动词	179
傳袋	传袋	dzoe de	与人事有关的动词	180
喫酒	吃酒	chioq cieu	与人事有关的动词	180
送轎	送轿	son jiau	与人事有关的动词	180
喫送酒	吃送酒	chioq son cieu	与人事有关的动词	180
喫送轎米飯	吃送轿米饭	chioq son jiau mi vae	与人事有关的动词	180
送人情	送人情	son gnin jin	与人事有关的动词	180
送嫁	送嫁	son ko	与人事有关的动词	180
吵房	吵房	tshau vaon	与人事有关的动词	180
張房	张房	cian vaon	与人事有关的动词	180
脫房	脱房	thaq vaon	与人事有关的动词	180
回門	回门	wei men	与人事有关的动词	180
有生	有生	yeu san	与人事有关的动词	180
有身	有身	yeu shin	与人事有关的动词	180
擔雙身	担双身	tae saon shin	与人事有关的动词	180
嘸長進	呒长进	mh cian cin	与人事有关的动词	180
落月	落月	loq yuq	与人事有关的动词	180
做三朝	做三朝	tsou sae ciau	与人事有关的动词	180
戒厭	戒厌	ka i	与人事有关的动词	180
做產	做产	tsou sae	与人事有关的动词	180
送產	送产	son sae	与人事有关的动词	180
做生	做生	tsou san	与人事有关的动词	181
拜生	拜生	pa san	与人事有关的动词	181
寄拜	寄拜	ci pa	与人事有关的动词	181
澆槓	浇杠	ciau kaon	与人事有关的动词	181
做陰壽	做阴寿	tsou in zhieu	与人事有关的动词	181
做陰生	做阴生	tsou in san	与人事有关的动词	181
做七頭	做七头	tsou chiq deu	与人事有关的动词	181
做七	做七	tsou chiq	与人事有关的动词	181
做羹飯	做羹饭	tsou kan vae	与人事有关的动词	181
做忌日	做忌日	tsou ji gniq	与人事有关的动词	181
做忌日羹飯	做忌日羹饭	tsou ji gniq kan vae	与人事有关的动词	181
做道場	做道场	tsou dau jian	与人事有关的动词	181
做功德	做功德	tsou kon taq	与人事有关的动词	181
做佛事	做佛事	tsou vaq zy	与人事有关的动词	181
排八字	排八字	ba paq zy	与人事有关的动词	181
關肚仙	关肚仙	kuae du shi	与人事有关的动词	181
唸阿彌陀佛	念阿弥陀佛	ne o mi dou vaq	与人事有关的动词	181
嘔活靈	呕活灵	eu waq lin	与人事有关的动词	181
坐夜	坐夜	zou ya	与人事有关的动词	181
送年	送年	son gni	与人事有关的动词	182
謝年	谢年	zhia gni	与人事有关的动词	182
拔秋	拔秋	baq chieu	与人事有关的动词	182
行會	行会	ghan wei	与人事有关的动词	182
賴學	赖学	la ghoq	与人事有关的动词	182
放晝學	放昼学	faon cieu ghoq	与人事有关的动词	182
放夜學	放夜学	faon ya ghoq	与人事有关的动词	182
關晝學	关昼学	kuae cieu ghoq	与人事有关的动词	182
關夜學	关夜学	kuae ya ghoq	与人事有关的动词	182
嬲和	嬲和	na ghou	与人事有关的动词	182
嬲話	嬲话	na wo	与人事有关的动词	182
嬲胡	嬲胡	na wu	与人事有关的动词	182
惡嬲和	恶嬲和	oq na ghou	与人事有关的动词	182
抲跌	抲跌	kho tiq	与人事有关的动词	182
抲捼倒跌	抲捼倒跌	kho ou tau tiq	与人事有关的动词	182
拗手勁	拗手劲	au shieu jin	与人事有关的动词	182
翻筋倒	翻筋倒	fae cin tau	与人事有关的动词	182
翻頂倒	翻顶倒	fae tin tau	与人事有关的动词	182
翻畚斗	翻畚斗	fae pen teu	与人事有关的动词	182
翻空殼畚斗	翻空壳畚斗	fae khon khoq pen teu	与人事有关的动词	182
打虎跳	打虎跳	tan fu thiau	与人事有关的动词	182
拗軟骨	拗软骨	au gniu kuaq	与人事有关的动词	182
篤蜻蜓	笃蜻蜓	toq chin din	与人事有关的动词	182
憋氣功	憋气功	piq chi kon	与人事有关的动词	182
𤖼一字	𤖼一字	phaq iq zy	与人事有关的动词	183
𤖼一字跌	𤖼一字跌	phaq iq zy tiq	与人事有关的动词	183
滾龍燈	滚龙灯	kuen lon ten	与人事有关的动词	183
滾龍	滚龙	kuen lon	与人事有关的动词	183
串馬燈	串马灯	tshoe mo ten	与人事有关的动词	183
唱書	唱书	tshaon syu	与人事有关的动词	183
鬧場	闹场	nau jian	与人事有关的动词	183
做戲文	做戏文	tsou shi ven	与人事有关的动词	183
做謎子	做谜子	tsou mei tsy	与人事有关的动词	183
猜謎子	猜谜子	tshe mei tsy	与人事有关的动词	183
過頭勢	过头势	kou deu syu	与人事有关的动词	183
打潦草	打潦草	tan liau tshau	与人事有关的动词	183
打連草	打连草	tan li tshau	与人事有关的动词	183
打老K	打老K	tan lau khe	与人事有关的动词	183
打撲克	打扑克	tan phoq khaq	与人事有关的动词	183
打派司	打派司	tan pha sy	与人事有关的动词	183
打杜路克	打杜路克	tan du lu khaq	与人事有关的动词	183
爭上游	争上游	tsan zaon yeu	与人事有关的动词	183
鬥地主	斗地主	teu di tsyu	与人事有关的动词	183
炒地皮	炒地皮	tshau di bi	与人事有关的动词	183
打紅五	打红五	tan ghon ng	与人事有关的动词	183
打紅五星	打红五星	tan ghon ng shin	与人事有关的动词	183
鈵大小	鈵大小	pin dou shiau	与人事有关的动词	183
叉麻將	叉麻将	tsho mo cian	与人事有关的动词	183
叉麻雀	叉麻雀	tsho mo cian	与人事有关的动词	183
搓麻將	搓麻将	tsho mo cian	与人事有关的动词	183
推牌九	推牌九	thei ba cieu	与人事有关的动词	184
撮頭鈿	撮头钿	tshaq deu di	与人事有关的动词	184
橫賭	横赌	wan tu	与人事有关的动词	184
橫東道	横东道	wan ton dau	与人事有关的动词	184
搶三	抢三	chian sae	与人事有关的动词	184
賴皮	赖皮	la bi	与人事有关的动词	184
屙賴	屙赖	ou la	与人事有关的动词	184
撮紙團	撮纸团	tshaq tsy doe	与人事有关的动词	184
拔長短	拔长短	baq jian toe	与人事有关的动词	184
張貓	张猫	cian mhau	与人事有关的动词	184
尋幽貓	寻幽猫	zhin ieu mae	与人事有关的动词	184
幽貓	幽猫	ieu mhau	与人事有关的动词	184
搶窠	抢窠	chian khou	与人事有关的动词	184
保窠	保窠	pau khou	与人事有关的动词	184
摸暗子	摸暗子	moq ei tsy	与人事有关的动词	184
摸暗洞	摸暗洞	moq ei don	与人事有关的动词	184
擺酒窠	摆酒窠	pa cieu khou	与人事有关的动词	184
打彈子	打弹子	tan dae tsy	与人事有关的动词	184
擂鐵環	擂铁环	lei thiq guae	与人事有关的动词	184
揞水片	揞水片	an syu phi	与人事有关的动词	185
揞水片	揞水片	khan syu phi	与人事有关的动词	185
揞水片	揞水片	ae syu phi	与人事有关的动词	185
揞水片	揞水片	ghae syu phi	与人事有关的动词	185
踢燕子	踢燕子	thiq i tsy	与人事有关的动词	185
跳長繩	跳长绳	thiau jian zhin	与人事有关的动词	185
穿線繃	穿线绷	tshoe shi pan	与人事有关的动词	185
宕連花	宕连花	dan li huo	与人事有关的动词	185
宕連沙	宕连沙	dan li so	与人事有关的动词	185
甩流星	甩流星	huaq lieu shin	与人事有关的动词	185
豁趣趣	豁趣趣	huaq tshyu tshyu	与人事有关的动词	185
拱趣趣	拱趣趣	kon tshyu tshyu	与人事有关的动词	185
呵癢趣趣	呵痒趣趣	huo yan tshyu tshyu	与人事有关的动词	185
呵趣趣	呵趣趣	huo tshyu tshyu	与人事有关的动词	185
騎馬啷啷	骑马啷啷	ji mo laon laon	与人事有关的动词	185
騎馬馬啷	骑马马啷	ji mo mo laon	与人事有关的动词	185
騎馬嘟嘟	骑马嘟嘟	ji mo tu tu	与人事有关的动词	185
糾會	纠会	cieu wei	与人事有关的动词	185
過賬	过账	kou cian	与人事有关的动词	185
鬥賬	斗账	teu cian	与人事有关的动词	185
軋賬	轧账	gaq cian	与人事有关的动词	185
撮頭	撮头	tshaq deu	与人事有关的动词	185
抽頭	抽头	chieu deu	与人事有关的动词	185
𡨢	𡨢	ke1	与人事有关的动词	185
𡨢	𡨢	ki1	与人事有关的动词	185
該	该	ke1	与人事有关的动词	185
該	该	ki1	与人事有关的动词	185
撐	撑	tshan1	与人事有关的动词	185
撐	撑	tshan5	与人事有关的动词	185
撐	撑	tsan1	与人事有关的动词	185
行	行	ghaon2	与人事有关的动词	186
判	判	phun5	与人事有关的动词	186
拷	拷	khau1	与人事有关的动词	186
斬	斩	tsae5	与人事有关的动词	186
割	割	kaq7	与人事有关的动词	186
扯	扯	tsho3	与人事有关的动词	186
𠡒	𠡒	tei3	与人事有关的动词	186
稱	称	chin1	与人事有关的动词	186
回	回	wei2	与人事有关的动词	186
包梢	包梢	pau sau	与人事有关的动词	186
起腳	起脚	chi ciaq	与人事有关的动词	186
起貨	起货	chi hou	与人事有关的动词	186
